Variable,Mean_0,Median_0,Q1_0,Q3_0,Shapiro_p_0,Mode_0,Mean_1,Median_1,Q1_1,Q3_1,Shapiro_p_1,Mode_1,Levene_p
ATS2p,776.6190016433311,713.0545959159771,600.2408480915808,925.8768481797606,2.1033725459016465e-21,533.7245737521478,849.560709539462,833.2226699837889,645.2161048209769,1007.9823383681081,2.198258382094158e-14,481.59173353463774,0.002268270916461532
ATS3p,952.4822807078806,872.8133529222159,732.9509166961991,1130.3210715519028,1.8965885756033543e-21,720.457098022011,1043.8337446374312,1020.9177068162157,796.9094821013668,1237.688149262817,1.878598184896019e-14,599.0764908784838,0.0024492715057783977
ATS4p,1019.8010342277607,934.5678759073842,778.2233546743186,1211.3086415413532,1.9372377784301668e-21,693.9271352555378,1117.8661519155582,1094.7305033550251,852.3689735804123,1325.4580206368341,2.7760266546107632e-14,636.833074388592,0.003336907904621092
ATS5p,1087.6806380918326,997.656433641743,823.0163444973784,1299.2517959398542,1.5445196963999893e-21,886.070542044877,1192.9366292672319,1171.2601048248937,902.6143436505465,1423.8098999334293,2.3306989376401472e-14,668.8403471396351,0.002318014479519857
ATS6p,1215.8946696455193,1105.1544115691215,912.6604286009912,1454.7757754322324,2.639654327033694e-21,986.3481957670483,1336.6280591972961,1307.671014455195,1016.690532674934,1603.9783906205598,3.581900498819158e-14,784.6031250443699,0.0015905558698685192
ATS7p,1351.0503729413151,1237.237209721555,1015.274203942535,1621.3438298351157,9.597486431421526e-21,884.268080725065,1485.2877218406766,1455.5533953973268,1137.569949637384,1784.2337606571814,9.328877194379114e-14,798.8575232230482,0.0016880397655285432
ATS8p,1470.7566037351653,1354.3005833221525,1111.8879981825066,1769.0866643659333,1.739652198734234e-20,953.902113082649,1612.4432357712155,1590.300124536227,1236.0133501113437,1929.7357911788563,7.728139516319679e-14,856.3318523464043,0.003079103796131099
ATS0i,52917.43910238611,48396.678957367454,40883.180259838366,61972.859886256105,6.624700513684872e-22,36127.59008748513,57402.170643933394,55948.72388150974,43696.395513170995,67465.26602307669,1.4008017448122857e-15,35859.70318080138,0.013907053573166695
ATS1i,48246.79434475155,44024.16861610208,37189.78361946846,57047.565564645425,6.1567641263612e-22,33006.85232692916,52370.77213886857,51042.10757470307,40046.917417356366,61828.92383746334,3.1687845093322136e-15,30752.946682828944,0.01129223271845411
ATS2i,90557.41450079817,83267.3347941285,70266.63347831767,106642.69145376091,1.0321433320268582e-21,62084.73314538035,98255.07285602001,95073.80032643238,74761.05007534852,115227.50962858455,1.6485163518855415e-15,59359.55235854775,0.006282055070869865
